item_id	depends_on	relation	basis
CM-ALTERNATING-PENCIL	J-GOLDEN-BRIDGE	REQUIRES	the identities for j, phi, J and their norms and traces are the registered exact arithmetic inputs
CM-ALTERNATING-PENCIL	J-STEP	REQUIRES	multiplication by J is the registered integral determinant-one map whose pullback action is classified on the pencil
CM-ALTERNATING-PENCIL	DEF-ACTION-LAYERS	REQUIRES	the theorem is confined to L1 exact algebra and creates no state, stream, decoder, measure, interpretation, or lift to L2-L6
J-HARMONIC-SEAM	J-GOLDEN-BRIDGE	REQUIRES	the exact identities J phi = zeta_5 and phi^-1 = phi-1 supply the algebraic conversion between the contracting Fibonacci ladder, J, and the free-unit landing
J-HARMONIC-SEAM	J-TENTH-ROOT	REQUIRES	the primitive tenth-root identity 1-J = -zeta_5^2 fixes the torsion landing and its principal phase representative
SPLIT-PRIME-RAPIDITY-INDEPENDENCE	SPLIT-PRIME-RAPIDITY-CLASS	REQUIRES	the log-free class equivalence turns a vanishing combination into rho(x)=+-phi^(2n)
REDUCED-SPLIT-GENERATOR-HEIGHT	SPLIT-PRIME-RAPIDITY-INDEPENDENCE	REQUIRES	the half-period endpoint is excluded because it is a two-torsion class
REDUCED-SPLIT-GENERATOR-HEIGHT	SPLIT-PRIME-RAPIDITY-CLASS	REQUIRES	the reduction acts on generators of one ideal, which the class row shows differ by +-phi^n
SPLIT-PRIME-RAPIDITY-QUANTITATIVE-SEPARATION	ARITHMETIC-RAPIDITY-DECOMPOSITION	REQUIRES	the signed norm, additive rapidity, exact interval identity, and discrete unit rapidity lattice supply the nearest-unit translate and determinant identity
SPLIT-PRIME-RAPIDITY-QUANTITATIVE-SEPARATION	SPLIT-PRIME-RAPIDITY-CLASS	REQUIRES	the oriented generator class, its even-unit ambiguity at fixed positive norm, and the exact logarithm-free class equivalence fix the allowed gauge changes
SPLIT-PRIME-RAPIDITY-QUANTITATIVE-SEPARATION	SPLIT-PRIME-RAPIDITY-INDEPENDENCE	REQUIRES	fractional-ideal independence excludes determinant zero, nearest-channel ties, and equality of the sum and difference gaps for distinct unordered classes
SPLIT-PRIME-RAPIDITY-QUANTITATIVE-SEPARATION	REDUCED-SPLIT-GENERATOR-HEIGHT	REQUIRES	the unique open-half-period reduced lift supplies the canonical finite controls without promoting their decimal values into the exact proof
SPLIT-RAPIDITY-FEJER-GRAM-BOUND	SPLIT-PRIME-RAPIDITY-QUANTITATIVE-SEPARATION	REQUIRES	merging each address difference gives a nonzero vector of product budget at most X^2 and hence the exact finite spacing bound
DEF-QDD-DOMAIN-K0	DEF-ARCHITECTURE	REQUIRES	the head carrier is the set of pointed forward U-orbits of the declared architecture
DEF-QDD-DOMAIN-K0	DEF-DECODER-MATTER	REQUIRES	K_QDD is the common total domain of the quadratic D_matter leg
DEF-QDD-BALANCED-PISTON	DEF-QDD-DOMAIN-K0	REQUIRES	beta_QDD reads the n = 0 head of kappa in K_QDD
DEF-QDD-AMPLITUDE-B0	DEF-QDD-BALANCED-PISTON	REQUIRES	iota_B0 is composed with beta_QDD
DEF-QDD-AMPLITUDE-B0	DEF-QDD-COEFFICIENT-Q	REQUIRES	the amplitude lives in the declared field K with bar = sigma_4
DEF-QDD-TRACE-PAIRING	DEF-QDD-COEFFICIENT-Q	REQUIRES	the pairing uses sigma_4 and Tr_(K/Q)
DEF-QDD-GRAM	DEF-QDD-TRACE-PAIRING	REQUIRES	G is the matrix of the trace pairing in B0
DEF-QDD-DAGGER	DEF-QDD-COEFFICIENT-Q	REQUIRES	dagger is the trivial involution over Q
DEF-QDD-TRANSPOSE	DEF-QDD-COEFFICIENT-Q	REQUIRES	transpose over Q
DEF-QDD-QPAIR	DEF-QDD-DAGGER	REQUIRES	first slot A_dagger = v v^dagger
DEF-QDD-QPAIR	DEF-QDD-TRANSPOSE	REQUIRES	second slot A_T = v v^T
DEF-QDD-QPAIR	DEF-QDD-BALANCED-PISTON	REQUIRES	Q_QDD is restricted to V_eff
DEF-QDD-QCARRIER-EQUALITY	DEF-QDD-QPAIR	REQUIRES	ordered componentwise rational equality on im(Q_QDD | V_eff)
DEF-QDD-LOW-LINE	DEF-QDD-TRACE-PAIRING	REQUIRES	lambda_B and its pairing values are stated in the trace pairing
DEF-QDD-PROJECTOR-LOW	DEF-QDD-GRAM	REQUIRES	E_low is G-self-adjoint
DEF-QDD-PROJECTOR-HIGH	DEF-QDD-PROJECTOR-LOW	REQUIRES	E_high = I_4 - E_low
DEF-QDD-BRANCH-WEIGHT-PAIRING	DEF-QDD-PROJECTOR-LOW	REQUIRES	w_low uses E_low
DEF-QDD-BRANCH-WEIGHT-PAIRING	DEF-QDD-PROJECTOR-HIGH	REQUIRES	w_high uses E_high
DEF-QDD-BRANCH-WEIGHT-PAIRING	DEF-QDD-GRAM	REQUIRES	m and the weights are traces against G on the transpose slot
DEF-QDD-MATTER-RECORD	DEF-QDD-COEFFICIENT-Q	REQUIRES	the field types are stated over the declared coefficient data; a typing source only, no computation rule
DEF-QDD-DIRECT-WRITE	DEF-QDD-AMPLITUDE-B0	REQUIRES	the direct write reads iota_B0 o beta_QDD
DEF-QDD-DIRECT-WRITE	DEF-QDD-TRACE-PAIRING	REQUIRES	m_tr, the projections and MATRIX_B0 are trace pairings
DEF-QDD-DIRECT-WRITE	DEF-QDD-LOW-LINE	REQUIRES	the direct write projects onto Q lambda_B
DEF-QDD-DIRECT-WRITE	DEF-QDD-MATTER-RECORD	REQUIRES	the direct write emits the record; the record is a pure type schema
DEF-QDD-FACTOR-MAP	DEF-QDD-QCARRIER-EQUALITY	REQUIRES	F_QDD is defined on QCarrier_QDD with its equality
DEF-QDD-FACTOR-MAP	DEF-QDD-BRANCH-WEIGHT-PAIRING	REQUIRES	F_QDD uses the Gram/projector formulas
DEF-QDD-FACTOR-MAP	DEF-QDD-MATTER-RECORD	REQUIRES	F_QDD emits the record
QDD-ALGEBRAIC-FACTORIZATION	DEF-QDD-DIRECT-WRITE	REQUIRES	left side of the identity
QDD-ALGEBRAIC-FACTORIZATION	DEF-QDD-FACTOR-MAP	REQUIRES	right side of the identity
QDD-ALGEBRAIC-FACTORIZATION	DEF-QDD-QPAIR	REQUIRES	the fibres are the Q_QDD fibres
QDD-PROJECTOR-PAIR-TR4	DEF-QDD-GRAM	REQUIRES	self-adjointness and orthogonality are taken with respect to G
QDD-PROJECTOR-PAIR-TR4	DEF-QDD-PROJECTOR-LOW	REQUIRES	the projector whose uniqueness is stated
QDD-PROJECTOR-PAIR-TR4	DEF-QDD-PROJECTOR-HIGH	REQUIRES	the complementary projector
QDD-PROJECTOR-PAIR-TR4	DEF-QDD-LOW-LINE	REQUIRES	the cyclotomic image of the projector line
QDD-PROJECTOR-PAIR-TR4	CODEC-TR4	REQUIRES	Tr_4 is the registered piston character whose kernel is the stated kernel; a mathematical identity, not a physical inheritance
QDD-QCARRIER-DIAGONAL-BOUNDARY	DEF-QDD-QPAIR	REQUIRES	the two typed slots whose coincidence on V_eff is stated
QDD-QCARRIER-DIAGONAL-BOUNDARY	DEF-QDD-DAGGER	REQUIRES	the dagger is the transpose over Q on the frozen carrier
QDD-QCARRIER-DIAGONAL-BOUNDARY	DEF-QDD-TRANSPOSE	REQUIRES	the second slot
QDD-INSTRUMENT-APPARATUS	DEF-QDD-PROJECTOR-LOW	REQUIRES	the instrument family must realize the frozen E_low exactly
QDD-INSTRUMENT-APPARATUS	DEF-QDD-PROJECTOR-HIGH	REQUIRES	the instrument family must realize the frozen E_high exactly
QDD-INSTRUMENT-APPARATUS	DEF-QDD-GRAM	REQUIRES	E_a = K_a^sharp K_a is taken in the frozen Gram form
TM-SHEET-SYNCHRONIZING-GRAPH	KERNEL-Z6-SYNCHRONIZATION	BOUNDED_BY	the sheet pair and its table are re-derived from the same declared generators and selector; the moving-layer theorem is lineage and its exclusion of census meaning for the value pair is inherited unchanged
TM-SHEET-SYNCHRONIZING-GRAPH	RAMIFIED-TM-LIFT	BOUNDED_BY	clause (viii) quotes the registered phase dictionary Theta_n^2 = (-1)^theta_n as a reading of the standalone congruence 4 + 2 theta = -(-1)^theta mod 5; nothing is inherited as a premise
TM-SHEET-SYNCHRONIZING-GRAPH	FIELD-ZERO-NONZERO-MULTIPLICATIVE-CUT	BOUNDED_BY	clause (v) states a partition coincidence with the zero orientation of the cut classification; no derivation is claimed in either direction, per the owner ruling of 2026-08-18
PISTON-2X2-RESHAPE-WEDGE	KERNEL-WEDGE-AFFINITY	REQUIRES	the factor-local reshape compares its determinant character with the registered rational cell-pair wedge without identifying the two wedges
PISTON-2X2-RESHAPE-WEDGE	DEF-QDD-BALANCED-PISTON	REQUIRES	the reshape is defined on the frozen balanced piston coordinates
PISTON-2X2-RESHAPE-WEDGE	DEF-QDD-QPAIR	REQUIRES	the theorem reads the determinant from the registered quadratic pair
PISTON-2X2-RESHAPE-WEDGE	DEF-QDD-TRANSPOSE	REQUIRES	D_Z is the displayed linear functional on the transpose slot
PISTON-2X2-RESHAPE-WEDGE	QPAIR-SYM2-TENSOR-DEFECT	REQUIRES	the K=Q specialization fixes the unhalved kappa coefficient D_Z/2 as a consistency clause only
QDD-TR4-OCCURRENCE-WEIGHT-WEDGE-BLIND	QDD-PROJECTOR-PAIR-TR4	REQUIRES	the occurrence weights are the exact frozen Tr_4 projector weights
QDD-TR4-OCCURRENCE-WEIGHT-WEDGE-BLIND	QDD-ALGEBRAIC-FACTORIZATION	REQUIRES	the full-record recovery boundary uses the registered total quadratic factorization
QDD-TR4-OCCURRENCE-WEIGHT-WEDGE-BLIND	PISTON-2X2-RESHAPE-WEDGE	REQUIRES	the separating target is the registered piston determinant D_Z
PISTON-WEDGE-LIFT-CENSUS	PISTON-2X2-RESHAPE-WEDGE	REQUIRES	the finite lift census uses the frozen reshape, determinant, and normalization
PURE-QUBIT-RELATIONAL-AREA	QPAIR-SYM2-TENSOR-DEFECT	REQUIRES	the external pure-two-qubit comparison uses the registered unhalved determinant-line projection and supplies its Hilbert structure separately
PURE-QUBIT-LOCAL-RELATION-PYTHAGORAS	PURE-QUBIT-RELATIONAL-AREA	REQUIRES	the Pythagoras identity substitutes C^2=4||r||^2 from the pure-state determinant theorem
PURE-QUBIT-RELATIONAL-CHSH	PURE-QUBIT-RELATIONAL-AREA	REQUIRES	the pure-state CHSH optimization is expressed through the registered norm and standard concurrence
PURE-QUBIT-RELATIONAL-READING	PURE-QUBIT-RELATIONAL-AREA	REQUIRES	the dictionary reads only the proved pure-state determinant-line norm after the external structure is supplied
BELL-MAGIC-BOUNDARY	BELL-CAUSAL-ACCOUNTING	BOUNDED_BY	the finite cyclotomic CHSH functional supplies no source, settings, apparatus, events, probability kernel, premise test, no-signalling test, or causal account
PURE-QUBIT-RELATIONAL-CHSH	BELL-CAUSAL-ACCOUNTING	BOUNDED_BY	the optimized standard-QM pure-state value supplies no realized Bell experiment, sampling measure, or causal account
DQRC-INTEGER-CENSUS-ARITHMETIC	DEF-DQRC-INTEGER-CENSUS	REQUIRES	the theorem proves the exact identities of the registered integral comparator census
DQRC-INTEGER-CENSUS-ARITHMETIC	DEF-ACTION-LAYERS	REQUIRES	the result is confined to L1 exact arithmetic and formal combinatorics and creates no L4 apparatus, L5 event, L6 measure, or cross-layer lift
DQRC-INTEGER-CENSUS-ARITHMETIC	BELL-CAUSAL-ACCOUNTING	BOUNDED_BY	the balanced formal margins and inserted parity supply no source, realized settings or outcomes, Bell-premise test, no-signalling intervention test, or causal account
DQRC-HORODECKI-REENCODING	DQRC-INTEGER-CENSUS-ARITHMETIC	REQUIRES	the reencoding uses the proved DQRC asymptotic signed-count functional
DQRC-HORODECKI-REENCODING	PURE-QUBIT-RELATIONAL-CHSH	REQUIRES	the equality target is the already registered externally supplied standard-QM pure-state optimum
DQRC-HORODECKI-REENCODING	BELL-CAUSAL-ACCOUNTING	BOUNDED_BY	the exact model-value identity supplies no TWIST-J source, apparatus, realized event stream, sampling law, locality premise, no-signalling test, or causal mechanism
DQRC-H-COEFFICIENT-NONSELECTION	DQRC-INTEGER-CENSUS-ARITHMETIC	REQUIRES	the nonselection theorem holds fixed the beta-independent integer census identities
DQRC-H-COEFFICIENT-NONSELECTION	DQRC-HORODECKI-REENCODING	REQUIRES	the coefficient beta=4 is identified only by equality with the already known pure-state target
DQRC-H-COEFFICIENT-NONSELECTION	BELL-CAUSAL-ACCOUNTING	BOUNDED_BY	nonselection of an invariant coefficient supplies neither a Bell model nor a physical mechanism
DQRC-ORIGIN-NONSELECTION	DQRC-INTEGER-CENSUS-ARITHMETIC	REQUIRES	the shifted-origin family preserves the registered exact census identities and asymptotic limit
DQRC-ORIGIN-NONSELECTION	BELL-CAUSAL-ACCOUNTING	BOUNDED_BY	the origin witness blocks a finite Bell-data prediction until an intrinsic time address, apparatus, realized-trial map, and sampling law are supplied
DQRC-MAXIMAL-SECTOR-FIELD-BOUNDARY	DQRC-INTEGER-CENSUS-ARITHMETIC	REQUIRES	the maximal-locus slope and S_inf formulas are specializations of the exact DQRC arithmetic
DQRC-MAXIMAL-SECTOR-FIELD-BOUNDARY	DEGREES-BY-PRIME	REQUIRES	the DQRC field application uses the registered separation of the zeta_5 and zeta_8 place fields
DQRC-MAXIMAL-SECTOR-FIELD-BOUNDARY	BELL-CAUSAL-ACCOUNTING	BOUNDED_BY	the field boundary neither selects a physical place assignment nor supplies a Bell source, apparatus, event law, or causal account
COSMOLOGY-REGISTER	DE-W-CONSTANT	BOUNDED_BY	the committed dark-energy form is additionally armed as a live empirical row
DE-W-CONSTANT	DEF-ARCHITECTURE	REQUIRES	Canon definition boundary: every downstream statement is conditional on the declared architecture
DE-CONFORMAL-WEIGHT	DE-W-CONSTANT	BOUNDED_BY	the armed reading supplies no source, no typed dictionary, and no selection premise, and the CIRCULAR clause rejects any closure that assumes w = -14/15
PENTAGON-ONLY-DILATIONS	J-LI-PENTAGON-DILATION-DEFICIENCY	REQUIRES	the falsification of the pentagon-tower dilation route is exactly the constant positive deficiency theorem; the route returns only if that computation is exactly refuted
KERNEL-SUBSET-LANDSCAPE	KERNEL-CONNECT-ALL-K	REQUIRES	the subset-generic lemma chain is inherited from the public all-k proof, which uses only that the letters are affine involutions and the two-way CSUM ring transvections are present
KERNEL-SUBSET-LANDSCAPE	KERNEL-WEDGE-AFFINITY	REQUIRES	the verbatim affine letter matrices and translations audited on all 15625 states are the registered kernel census data
J-TORAL-ENTROPY	J-STEP	REQUIRES	the toral automorphism is induced by the public multiplication-by-J step matrix acting on R^4/Z^4
